Date,tank,acetone,filtWater,Chl,Phaeo
2016-06-03,1,10,120,0.39,0.11
2016-06-03,2,10,120,1.83,0.19
2016-06-03,3,10,120,0.24,1.71
2016-06-03,4,10,120,6.58,1.11
2016-06-03,5,10,120,3.3,1.52
2016-06-03,6,10,120,5.81,2.89
2016-06-03,7,10,120,1.2,1.13
2016-06-03,8,10,120,1.63,0.85
2016-06-03,9,10,120,8.59,3.32
2016-06-03,10,10,120,6.35,10.58
2016-06-03,11,10,120,4.04,2.78
2016-06-03,12,10,120,6.23,2.37
2016-06-03,13,10,70,2.34,13.57
2016-06-03,14,10,120,2.47,1.52
2016-06-03,15,10,120,-7.89,17.39
2016-06-03,16,10,120,14.93,-5.75
2016-06-03,17,10,120,2.8,0.83
2016-06-03,18,10,120,6.54,0.55
2016-06-03,19,10,120,10.16,1.8
2016-06-03,20,10,120,6.16,-0.26
2016-06-03,21,10,120,14.86,4.28
2016-06-03,22,10,120,8.58,6.44
2016-06-03,23,10,120,7.32,1.56
2016-06-03,24,10,120,2.89,2.06
2016-06-03,25,10,120,1.82,1.05
2016-06-03,26,10,120,2.44,1.57
2016-06-03,27,10,120,1.73,1.84
2016-06-03,28,10,120,3.43,0.6
2016-06-03,29,10,120,2.88,1.15
2016-06-03,30,10,120,1.1,0.34
2016-06-16,1,10,90,2.11,0.27
2016-06-16,2,10,90,8.6,0.02
2016-06-16,3,10,90,1.67,0.6
2016-06-16,4,10,65,10.67,0.65
2016-06-16,5,10,90,8.6,0.48
2016-06-16,6,10,90,6.63,1.5
2016-06-16,7,10,90,5.45,4.23
2016-06-16,8,10,90,8.62,1.16
2016-06-16,9,10,90,9.61,1.54
2016-06-16,10,10,90,7.45,-0.76
2016-06-16,11,10,60,14.13,-1.99
2016-06-16,12,10,90,16.49,-1.81
2016-06-16,13,10,86,5.08,0.18
2016-06-16,14,10,90,10.21,1.46
2016-06-16,15,10,90,5.44,1.03
2016-06-16,16,10,90,-0.31,24.18
2016-06-16,17,10,90,11.11,-1.64
2016-06-16,18,10,90,11.83,3.07
2016-06-16,19,10,90,18.4,-2.44
2016-06-16,20,10,90,8.59,2.62
2016-06-16,21,10,90,21.09,2.65
2016-06-16,22,10,90,5.78,2.92
2016-06-16,23,10,90,14.29,-1.56
2016-06-16,24,10,90,8.78,-0.77
2016-06-16,25,10,90,9.14,0.58
2016-06-16,26,10,90,15.6,0.63
2016-06-16,27,10,90,12.78,1.04
2016-06-16,28,10,90,4.32,1.41
2016-06-16,29,10,90,4.98,1.94
2016-06-16,30,10,90,-0.58,11.04
2016-06-30,1,10,120,8.42,9.62
2016-06-30,2,10,120,10.14,12.74
2016-06-30,3,10,120,9.77,3.38
2016-06-30,4,10,70,11.01,19.32
2016-06-30,5,10,113,31.27,8.40
2016-06-30,6,10,108.8,21.59,2.96
2016-06-30,7,10,107,39.67,-0.94
2016-06-30,8,10,108,47.89,-14.18
2016-06-30,9,10,91.8,22.25,-1.62
2016-06-30,10,10,110.7,28.18,-4.10
2016-06-30,11,10,70,23.24,6.04
2016-06-30,12,10,70,17.16,6.73
2016-06-30,13,10,36,20.67,-1.75
2016-06-30,14,10,70,12.24,15.91
2016-06-30,15,10,70,13.39,8.07
2016-06-30,16,10,70,15.89,7.72
2016-06-30,17,10,70,30.47,-4.58
2016-06-30,18,10,70,18.71,7.27
2016-06-30,19,10,70,18.54,4.85
2016-06-30,20,10,70,14.47,2.42
2016-06-30,21,10,70,34.59,5.90
2016-06-30,22,10,70,23.28,3.22
2016-06-30,23,10,70,34.33,4.39
2016-06-30,24,10,70,17.69,1.87
2016-06-30,25,10,70,15.40,-1.44
2016-06-30,26,10,70,28.64,3.24
2016-06-30,27,10,70,16.24,7.48
2016-06-30,28,10,70,23.72,-1.61
2016-06-30,29,10,70,20.21,0.33
2016-06-30,30,10,70,9.74,8.06